demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
27315.239291,-0.0,15873.654411947797,11441.584879052205,0.0,2025-08-25 02:00:00,8,25,2,2025-08-25,night_00_05,15873.654411947797,0.41887185234441826
27061.693278,-0.0,15873.654411947797,11188.038866052202,0.0,2025-08-25 03:00:00,8,25,3,2025-08-25,night_00_05,15873.654411947797,0.4134271551716832
26672.291481,-0.0,15873.654411947797,10798.637069052204,0.0,2025-08-25 04:00:00,8,25,4,2025-08-25,night_00_05,15873.654411947797,0.40486349201547267
27087.620207,-0.0,15873.654411947797,11213.965795052203,0.0,2025-08-25 05:00:00,8,25,5,2025-08-25,night_00_05,15873.654411947797,0.4139885936585261
27995.422929,7095.7377228463865,15873.654411947797,5026.030794205817,0.0087848012539812,2025-08-25 06:00:00,8,25,6,2025-08-25,morning_06_09,22969.392134794183,0.1795304470645962
39048.518246,8184.518171332253,15873.654411947797,14990.345662719948,0.0101327540987394,2025-08-25 19:00:00,8,25,19,2025-08-25,evening_peak_16_20,24058.17258328005,0.3838902559191349
37974.320037,-0.0,15873.654411947797,22100.6656250522,0.0,2025-08-25 20:00:00,8,25,20,2025-08-25,evening_peak_16_20,15873.654411947797,0.5819897658080139
36427.91338,-0.0,15873.654411947797,20554.2589680522,0.0,2025-08-25 21:00:00,8,25,21,2025-08-25,late_evening_21_23,15873.654411947797,0.5642447524687784
33544.7015449999,-0.0,15873.654411947797,17671.047133052103,0.0,2025-08-25 22:00:00,8,25,22,2025-08-25,late_evening_21_23,15873.654411947797,0.5267910077943773
31162.383191,-0.0,15873.654411947797,15288.728779052204,0.0,2025-08-25 23:00:00,8,25,23,2025-08-25,late_evening_21_23,15873.654411947797,0.49061487644718194
29387.338842,-0.0,15873.654411947797,13513.684430052204,0.0,2025-08-26 00:00:00,8,26,0,2025-08-26,night_00_05,15873.654411947797,0.45984716420592064
27940.242108,-0.0,15873.654411947797,12066.587696052202,0.0,2025-08-26 01:00:00,8,26,1,2025-08-26,night_00_05,15873.654411947797,0.43187126473028065
27079.751607,-0.0,15873.654411947797,11206.097195052202,0.0,2025-08-26 02:00:00,8,26,2,2025-08-26,night_00_05,15873.654411947797,0.4138183155326829
26771.68819,-0.0,15873.654411947797,10898.033778052204,0.0,2025-08-26 03:00:00,8,26,3,2025-08-26,night_00_05,15873.654411947797,0.40707308783474233
26414.849778,-0.0,15873.654411947797,10541.195366052203,0.0,2025-08-26 04:00:00,8,26,4,2025-08-26,night_00_05,15873.654411947797,0.3990632335464423
26564.045473,-0.0,15873.654411947797,10690.391061052202,0.0,2025-08-26 05:00:00,8,26,5,2025-08-26,night_00_05,15873.654411947797,0.4024383662465131
27673.237704,8022.756504700104,15873.654411947797,3776.826787352098,0.0099324868189468,2025-08-26 06:00:00,8,26,6,2025-08-26,morning_06_09,23896.410916647903,0.13647939672798678
37427.788466,12548.972369119885,15873.654411947797,9005.161684932315,0.0155361193592987,2025-08-26 19:00:00,8,26,19,2025-08-26,evening_peak_16_20,28422.62678106768,0.24060095597453607
